"year","gold_avg_usd_per_oz","silver_avg_usd_per_oz","gold_silver_ratio","inflation_rate","inflation_index","gold_infl_adj","silver_inf_adj"
1971,41,1.55,26.5,3.3,100,41,1.55
1972,58,1.68,34.5,3.4,103.3,56.15,1.63
1973,97,2.56,37.9,8.7,106.81,90.81,2.4
1974,159,4.71,33.8,12.3,116.1,136.95,4.06
1975,161,4.42,36.4,6.9,130.39,123.48,3.39
1976,125,4.35,28.7,4.9,139.38,89.68,3.12
1977,148,4.62,32,6.7,146.21,101.22,3.16
1978,193,5.4,35.7,9,156.01,123.71,3.46
1979,307,11.09,27.7,13.3,170.05,180.54,6.52
1980,615,20.63,29.8,12.5,192.67,319.21,10.71
1981,460,10.52,43.7,8.9,216.75,212.23,4.85
1982,376,7.95,47.3,3.8,236.04,159.3,3.37
1983,424,11.44,37.1,3.8,245.01,173.05,4.67
1984,361,8.14,44.3,3.9,254.32,141.95,3.2
1985,317,6.14,51.6,3.8,264.24,119.97,2.32
1986,368,5.47,67.3,1.1,274.28,134.17,1.99
1987,447,7.01,63.8,4.4,277.3,161.2,2.53
1988,437,6.53,66.9,4.4,289.5,150.95,2.26
1989,381,5.5,69.3,4.6,302.23,126.06,1.82
1990,383,4.83,79.3,6.1,316.14,121.15,1.53
1991,362,4.04,89.6,3.1,335.42,107.92,1.2
1992,344,3.94,87.3,2.9,345.82,99.47,1.14
1993,360,4.3,83.7,2.7,355.85,101.17,1.21
1994,384,5.28,72.7,2.7,365.46,105.07,1.44
1995,384,5.15,74.6,2.5,375.32,102.31,1.37
1996,388,5.19,74.8,3.3,384.71,100.86,1.35
1997,331,4.89,67.7,1.7,397.4,83.29,1.23
1998,294,5.54,53.1,1.6,404.16,72.74,1.37
1999,279,5.22,53.4,2.7,410.62,67.95,1.27
2000,279,4.95,56.4,3.4,421.71,66.16,1.17
2001,271,4.37,62,1.6,436.05,62.15,1
2002,310,4.6,67.4,2.4,443.03,69.97,1.04
2003,363,4.88,74.4,1.9,453.66,80.02,1.08
2004,409,6.67,61.3,3.3,462.28,88.47,1.44
2005,444,7.31,60.7,3.4,477.53,92.98,1.53
2006,604,11.55,52.3,2.5,493.77,122.32,2.34
2007,695,13.38,51.9,4.1,506.11,137.32,2.64
2008,872,14.99,58.2,0.1,526.87,165.51,2.85
2009,972,14.67,66.3,2.7,527.39,184.3,2.78
2010,1225,20.19,60.7,1.5,541.63,226.17,3.73
2011,1572,35.12,44.8,3,549.76,285.94,6.39
2012,1669,31.15,53.6,1.7,566.25,294.75,5.5
2013,1411,23.79,59.3,1.5,575.87,245.02,4.13
2014,1266,19.08,66.4,0.8,584.51,216.59,3.26
2015,1160,15.68,74,0.7,589.19,196.88,2.66
2016,1251,17.14,73,2.1,593.31,210.85,2.89
2017,1257,17.05,73.7,2.1,605.77,207.5,2.81
2018,1269,15.71,80.8,1.9,618.49,205.18,2.54
2019,1393,16.21,85.9,2.3,630.25,221.02,2.57
2020,1770,20.55,86.1,1.4,644.74,274.53,3.19
2021,1799,25.14,71.6,7,653.77,275.17,3.85
2022,1800,21.73,82.8,6.5,699.53,257.32,3.11
2023,1941,23.35,83.1,3.4,745,260.54,3.13
2024,2386,28.27,84.4,2.9,770.33,309.74,3.67
2025,3432,40.03,85.7,2.7,792.67,432.97,5.05
